Year,Anomaly
1880,-0.1725
1881,-0.08833333333333333
1882,-0.10666666666666667
1883,-0.17416666666666666
1884,-0.2808333333333333
1885,-0.33166666666666667
1886,-0.31583333333333335
1887,-0.3666666666666667
1888,-0.1758333333333333
1889,-0.10916666666666668
1890,-0.3558333333333334
1891,-0.22916666666666666
1892,-0.27999999999999997
1893,-0.31916666666666665
1894,-0.31083333333333335
1895,-0.23916666666666667
1896,-0.12
1897,-0.1175
1898,-0.28250000000000003
1899,-0.1825
1900,-0.08666666666666667
1901,-0.16
1902,-0.28583333333333333
1903,-0.37666666666666665
1904,-0.47750000000000004
1905,-0.26833333333333337
1906,-0.22916666666666666
1907,-0.3933333333333333
1908,-0.43
1909,-0.48666666666666664
1910,-0.44083333333333335
1911,-0.45
1912,-0.3675
1913,-0.3491666666666667
1914,-0.15666666666666665
1915,-0.14333333333333334
1916,-0.36166666666666664
1917,-0.46166666666666667
1918,-0.29916666666666664
1919,-0.2783333333333333
1920,-0.27499999999999997
1921,-0.19083333333333333
1922,-0.2841666666666667
1923,-0.2658333333333333
1924,-0.2708333333333333
1925,-0.2225
1926,-0.10666666666666667
1927,-0.2175
1928,-0.19999999999999998
1929,-0.35833333333333334
1930,-0.1575
1931,-0.08833333333333333
1932,-0.155
1933,-0.2816666666666667
1934,-0.12166666666666666
1935,-0.19666666666666666
1936,-0.14416666666666667
1937,-0.0275
1938,0.000833333333333333
1939,-0.016666666666666666
1940,0.125
1941,0.18666666666666668
1942,0.0675
1943,0.08916666666666667
1944,0.20333333333333334
1945,0.09250000000000001
1946,-0.07333333333333333
1947,-0.0275
1948,-0.10666666666666667
1949,-0.10916666666666668
1950,-0.17416666666666666
1951,-0.06833333333333334
1952,0.01
1953,0.07916666666666668
1954,-0.13333333333333333
1955,-0.14083333333333334
1956,-0.18916666666666668
1957,0.04833333333333333
1958,0.06166666666666667
1959,0.030833333333333334
1960,-0.024999999999999994
1961,0.057499999999999996
1962,0.030833333333333334
1963,0.05416666666666667
1964,-0.19916666666666663
1965,-0.10666666666666667
1966,-0.0575
1967,-0.02416666666666667
1968,-0.08416666666666667
1969,0.051666666666666666
1970,0.025833333333333333
1971,-0.08083333333333333
1972,0.008333333333333335
1973,0.16
1974,-0.07083333333333333
1975,-0.013333333333333336
1976,-0.09916666666666667
1977,0.1775
1978,0.06833333333333334
1979,0.16583333333333333
1980,0.2558333333333333
1981,0.3225
1982,0.1366666666666667
1983,0.31166666666666665
1984,0.155
1985,0.11583333333333334
1986,0.18000000000000002
1987,0.31916666666666665
1988,0.3858333333333333
1989,0.27166666666666667
1990,0.445
1991,0.4033333333333333
1992,0.22
1993,0.23
1994,0.3133333333333333
1995,0.44416666666666665
1996,0.3283333333333333
1997,0.4633333333333334
1998,0.605
1999,0.38000000000000006
2000,0.39166666666666666
2001,0.5325
2002,0.6266666666666667
2003,0.6166666666666667
2004,0.5325
2005,0.6749999999999999
2006,0.6375000000000001
2007,0.6608333333333333
2008,0.5433333333333333
2009,0.655
2010,0.7233333333333333
2011,0.6058333333333333
2012,0.6433333333333333
2013,0.6733333333333333
2014,0.7458333333333332
2015,0.8975
2016,1.0133333333333334
2017,0.9199999999999999
2018,0.8475
2019,0.9758333333333332
2020,1.0091666666666665
2021,0.8483333333333333
2022,0.8933333333333334
2023,1.1691666666666667
